objectid,area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
1661,,1794.41441519,3,102,I,GARFIELD,0,2.618,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Garifield,I,I - Garifield,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires May 1st,373760.793701172,3059.45308856105
1662,,0,0,0,CC,SOUTH SIDE FLATS,0,31.399,0,0,Approved,,2 Hours,3 Days,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,None,,,South Side,CC,CC - South Side,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires January 1st,1892113.77935791,7149.17708147041
1663,,5103.25320429,0,0,DD,SOUTH SIDE FLATS,0,11.785,0.022,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,South Side,DD,DD - South Side,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires January 1st,1799403.73205566,9074.84135158041
1664,,4981.56918135,8,6,L,CENTRAL NORTHSIDE,0,19.779,0.033,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None,,,North Side,L,L - North Side,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires January 1st,869928.799682617,5146.01608626178
1665,,,,,GG,LAWRENCEVILLE,,,,,Approved,,,,,,,,,,,,,Lawrenceville,GG,GG - Lawrenceville,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires March 1st,613634.003417969,3862.52725405932
1666,,,,,KK,SOUTH SIDE FLATS,,,,,,,,,,,,,,,,,,,KK,KK - South Side Flats,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires August 1st,427840.630493164,2993.2097798742
1667,,0,0,0,FF, ,0,0,0,0,Approved,"Mon - Sat, 7am - 7pm",1 hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Schenley Farms,FF,FF - Schenley Farms,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires February 1st,1071561.1730957,4581.63575614278
1668,,7245.38161287,10,7,F,EAST ALLEGHENY,0,49.042,0.077,1,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,East Allegheny-East North Side,F,F - East Allegheny-East North Side,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires February 1st,2136248.83203125,7245.38097874314
1669,,,,,A,LAWRENCEVILLE,,,,,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Lawrenceville,A,A - Lawrenceville,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires March 1st,3770039.97528076,10685.6073140797
1670,,12008.1547346,2,1,JJ,BLOOMFIELD,0,134.957,0.151,1,Approved,"Mon - Sat, 7am-7pm",1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Bloomfield,JJ,JJ - Bloomfield,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires March 1st,1985585.43151855,6256.529345698
